id,name,population,lat,lon
01001,Alegría-Dulantzi,2975,42.83981158,-2.51243731
01002,Amurrio,10313,43.05427776,-3.00007326
01003,Aramaio,1409,43.05119653,-2.56540037
01004,Artziniega,1832,43.12084358,-3.12791718
01006,Armiñón,232,42.72326199,-2.87183475
01008,Arratzua-Ubarrundia,1043,42.89116171,-2.63878816
01009,Asparrena,1609,42.88968768,-2.31670754
01010,Ayala/Aiara,2918,43.07768283,-3.04306746
01011,Baños de Ebro/Mañueta,295,42.52925602,-2.67863583
01013,Barrundia,897,42.91537538,-2.49407452
01014,Berantevilla,451,42.68227191,-2.85971414
01016,Bernedo,540,42.62676989,-2.49825439
01017,Campezo/Kanpezu,1072,42.66971209,-2.35207693
01018,Zigoitia,1821,42.96210609,-2.73033002
01019,Kripan,174,42.59082439,-2.51621636
01020,Kuartango,401,42.87006411,-2.88438243
01021,Elburgo/Burgelu,638,42.850282,-2.545933
01022,Elciego,964,42.51420738,-2.61723872
01023,Elvillar/Bilar,313,42.56842577,-2.54441267
01027,Iruraiz-Gauna,541,42.83131017,-2.475996232
01028,Labastida/Bastida,1566,42.590217,-2.793199
01030,Lagrán,172,42.62621464,-2.58423377
01031,Laguardia,1472,42.55236655,-2.58411693
01032,Lanciego/Lantziego,708,42.5624416,-2.51278162
01033,Lapuebla de Labarca,865,42.49441468,-2.57209001
01034,Leza,220,42.56469687,-2.63459428
01036,Laudio/Llodio,17917,43.1425188,-2.96256495
01037,Arraia-Maeztu,812,42.738527,-2.444299
01039,Moreda de Álava/Moreda Araba,208,42.52479167,-2.40841718
01041,Navaridas,197,42.5450594,-2.62479544
01042,Okondo,1198,43.1615513,-3.019026823
01043,Oyón-Oion,3405,42.506067,-2.436788
01044,Peñacerrada-Urizaharra,302,42.64417512,-2.71402821
01046,Erriberagoitia/Ribera Alta,828,42.80074682,-2.91080642
01047,Ribera Baja/Erriberabeitia,1423,42.71339792,-2.91704002
01049,Añana,156,42.8012318,-2.98601634
01051,Agurain/Salvatierra,5085,42.850452,-2.389753
01052,Samaniego,305,42.56735197,-2.67904862
01053,San Millán/Donemiliaga,726,42.87382571,-2.37748902
01054,Urkabustaiz,1434,42.95304046,-2.90661046
01055,Valdegovía/Gaubea,1066,42.84756896,-3.09884417
01056,Harana/Valle de Arana,219,42.75289194,-2.33104687
